                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     73,                0.59038,                0.42902,                0.93728,                 0.9678,                      1,                  0.995,                0.81215,                0.69124,                0.33723,                 1.0011,               0.002872,               0.002872,               0.002872
                     74,                0.67602,                0.45789,                0.97232,                0.95563,                0.99425,                  0.995,                0.81366,                0.69011,                0.38212,                0.98951,               0.002773,               0.002773,               0.002773
                     75,                0.57863,                0.41631,                0.91915,                0.94345,                0.99174,                  0.995,                0.84853,                0.67864,                0.37344,                0.98265,               0.002674,               0.002674,               0.002674
                     76,                0.65615,                0.46803,                0.94373,                0.93625,                0.99073,                  0.995,                0.84274,                0.67079,                0.35946,                0.98794,               0.002575,               0.002575,               0.002575
                     77,                0.61069,                0.42621,                0.95156,                0.92849,                0.99023,                  0.995,                0.86848,                0.66447,                0.34827,                0.99405,               0.002476,               0.002476,               0.002476
                     78,                0.55992,                0.39426,                0.90678,                0.92796,                0.98945,                  0.995,                0.86796,                0.66343,                0.36561,                0.99824,               0.002377,               0.002377,               0.002377
                     79,                0.57714,                0.42799,                0.91794,                0.92749,                0.98989,                  0.995,                0.82905,                0.69241,                0.36332,                  1.004,               0.002278,               0.002278,               0.002278
                     80,                0.63854,                0.44234,                0.95257,                 0.9341,                0.99409,                  0.995,                0.84231,                0.68856,                0.35676,                0.98582,               0.002179,               0.002179,               0.002179
                     81,                0.57946,                0.40298,                0.92334,                0.94243,                0.99708,                  0.995,                0.84446,                0.69084,                0.35084,                0.98019,                0.00208,                0.00208,                0.00208
                     82,                0.61172,                0.36766,                0.93345,                0.94583,                      1,                  0.995,                0.87158,                0.69057,                0.36785,                0.97447,               0.001981,               0.001981,               0.001981
                     83,                0.56802,                0.45014,                0.92752,                0.94192,                      1,                  0.995,                0.84492,                 0.7079,                0.37533,                0.97212,               0.001882,               0.001882,               0.001882
                     84,                0.58693,                0.41333,                0.89896,                0.92121,                      1,                  0.995,                0.85846,                0.71371,                0.39854,                0.97912,               0.001783,               0.001783,               0.001783
                     85,                 0.6469,                0.45216,                0.96711,                0.90439,                      1,                  0.995,                0.85909,                0.67267,                0.39086,                0.96796,               0.001684,               0.001684,               0.001684
                     86,                0.61462,                0.45157,                0.95461,                0.92185,                      1,                  0.995,                0.87079,                0.66878,                 0.3559,                0.96907,               0.001585,               0.001585,               0.001585
                     87,                0.56194,                0.40035,                0.92592,                0.92473,                      1,                  0.995,                 0.8848,                0.64371,                0.36279,                0.97102,               0.001486,               0.001486,               0.001486
                     88,                0.59219,                0.39108,                0.93581,                0.92797,                      1,                  0.995,                0.86958,                0.63919,                0.36915,                0.96885,               0.001387,               0.001387,               0.001387
                     89,                0.61135,                0.37768,                0.95922,                0.92882,                      1,                  0.995,                0.86958,                0.62973,                0.35955,                0.97064,               0.001288,               0.001288,               0.001288
